country,total_movement,area_scaled,radius_scaled
Afghanistan,6302,171.5523254870788,7.389641479825436
Algeria,121,101.36268513862076,5.680206402038379
Argentina,4,100.03406712846552,5.642856769594949
Aruba,2,100.01135570948851,5.642216165034259
Australia,4297,148.7841279626235,6.881820895499769
Bahrain,1,100.0,5.641895835477563
Bangladesh,239,102.70265885826453,5.717628149149511
Belgium,287,103.24773291371282,5.732780661467727
Benin,7,100.06813425693103,5.643817540100672
Bulgaria,9,100.09084567590806,5.644457962917047
Burundi,4808,154.58689551125025,7.014737138032444
Cameroon,878,109.9589572214201,5.9161662551046135
Canada,13458,252.81378258683063,8.970681488098196
Central African Republic,1545,117.53321545025388,6.116533694240984
Chad,1489,116.89729571889752,6.099964335590429
China,24,100.26118131823564,5.64925881988602
"China, Hong Kong SAR",3,100.02271141897701,5.642536476405688
Colombia,1722,119.54317602971952,6.168612060753121
Congo,28,100.30660415618968,5.650538359522859
Costa Rica,399,104.51957237642554,5.767981725622793
Cote d'Ivoire,10,100.10220138539655,5.644778147078277
Cuba,106,101.19234949629318,5.675431723740094
Curacao,10,100.10220138539655,5.644778147078277
DR Congo,26363,399.3592135360057,11.274749922153225
Denmark,152,101.71471213276446,5.690061374203031
Djibouti,8,100.07948996641954,5.6441377605922085
Dominican Republic,384,104.34923673409796,5.763279766608259
Ecuador,1427,116.19324173061013,6.0815670308396825
Egypt,4359,149.4881819509109,6.898084240034782
El Salvador,888,110.07251431630517,5.919220345956616
Eritrea,2082,123.63123144558182,6.273200396145897
Ethiopia,1987,122.55243904417371,6.245770803007174
Finland,1331,115.10309361971352,6.052970562417532
France,3003,134.0898398844962,6.533155567720449
Gambia,2,100.01135570948851,5.642216165034259
Germany,4881,155.41586230391124,7.033520131563829
Ghana,108,101.21506091527019,5.676068579573814
Grenada,2,100.01135570948851,5.642216165034259
Guatemala,2311,126.23168891844978,6.338832268834649
Guinea,10,100.10220138539655,5.644778147078277
Haiti,121,101.36268513862076,5.680206402038379
Honduras,620,107.02918417338546,5.836818262767335
Iceland,11,100.11355709488507,5.645098313078993
India,532,106.0298817383969,5.809505967655934
Indonesia,1507,117.10169848969063,6.105295104921792
Iran,2440,127.69657544246711,6.375506442248454
Iraq,3429,138.92737212659995,6.6499590983276855
Ireland,130,101.46488652401733,5.683069283504398
Israel,399,104.51957237642554,5.767981725622793
Italy,182,102.05538341741966,5.699582219780847
Japan,47,100.5223626364713,5.656612220202204
Jordan,10761,222.18743409632884,8.409783401412366
Kenya,2879,132.6817319079214,6.498761957656142
Kuwait,71,100.79489966419544,5.664275155747348
Laos,1,100.0,5.641895835477563
Lebanon,8985,202.0196940447415,8.019031476323427
Libya,409,104.63312947131061,5.771114236702191
Madagascar,60,100.66998685982188,5.660764264608941
Malawi,787,108.92558765796603,5.888301232945686
Malaysia,6674,175.7766494168032,7.480069870638289
Mali,2,100.01135570948851,5.642216165034259
Malta,20,100.21575848028162,5.647978990371751
Mauritania,102,101.14692665833914,5.674157797634479
Mexico,41,100.45422837954025,5.65469486375454
Mongolia,3,100.02271141897701,5.642536476405688
Morocco,276,103.12282010933926,5.729311750285134
Mozambique,138,101.55573219992537,5.68561285684048
Myanmar,6849,177.76389857729183,7.522234131142468
Namibia,136,101.53302078094836,5.684977070198272
Nauru,15,100.15897993283909,5.646378795538481
Nepal,16,100.1703356423276,5.646698870782947
Netherlands,733,108.31237934558669,5.871703427608487
New Zealand,1233,113.99023408983989,6.023638305808259
Nicaragua,398,104.50821666693705,5.767668380942482
Niger,595,106.7452914361728,5.829072101776039
Nigeria,157,101.771490680207,5.691649287787452
Norway,2098,123.81292279739792,6.27780832486324
Pakistan,1331,115.10309361971352,6.052970562417532
Palestinian,108,101.21506091527019,5.676068579573814
Papua New Guinea,36,100.39744983209772,5.65309656995154
Peru,562,106.3705530230521,5.818831379759564
Portugal,241,102.72537027724154,5.71826030547198
Qatar,8,100.07948996641954,5.6441377605922085
Republic of Korea,10,100.10220138539655,5.644778147078277
Romania,154,101.73742355174149,5.690696592807153
Rwanda,7939,190.1416219197638,7.779714521245711
Saudi Arabia,87,100.97659101601155,5.669378025280535
Senegal,15,100.15897993283909,5.646378795538481
Singapore,5,100.04542283795402,5.643177044605136
Slovenia,23,100.24982560874714,5.648938889691157
Somalia,2238,125.40272212578881,6.317984346846497
South Africa,892,110.11793715425921,5.920441541166171
South Sudan,1064,112.0711191862823,5.972716734675734
Spain,943,110.69707833817303,5.935989757968087
Sri Lanka,241,102.72537027724154,5.71826030547198
Sudan,3702,142.02748081696217,6.723745329339724
Sweden,497,105.63243190629917,5.798607365343088
Switzerland,340,103.84958551660367,5.7494651704331545
Syria,29589,435.9927323459274,11.780526177127745
Tajikistan,2,100.01135570948851,5.642216165034259
Tanzania,7846,189.08554093733272,7.758079466901771
Thailand,1717,119.48639748227698,6.167146956502234
Togo,3,100.02271141897701,5.642536476405688
Trinidad and Tobago,406,104.59906234284509,5.770174661938947
Tunisia,65,100.72676540726441,5.662360394080168
TÃ¼rkiye,13924,258.1055432084746,9.064079990936477
Uganda,3491,139.63142611488735,6.666788083800937
United Arab Emirates,98,101.10150382038512,5.672883585450777
United Kingdom,713,108.08526515581656,5.8655441733817675
United States of America,61644,800.0,15.957691216057308
Unknown,7024,179.75114773778046,7.564163362713595
Venezuela,1988,122.56379475366222,6.246060162878012
Vietnam,124,101.39675226708628,5.681160856158031
Yemen,335,103.79280696916113,5.747893229092711
Zambia,878,109.9589572214201,5.9161662551046135
Zimbabwe,746,108.46000356893727,5.875703480564855
